,eventyr,sætning,kategori,årstal
37,aarets-historie,"kommer nu Vaaren?«
»Vaaren!«
klang det hen over Mark og Eng og igjennem de sortbrune Skove, hvor Mosset skinnede friskt grønt paa Træstammerne; og gjennem Luften kom flyvende, syd fra, de to første Storke; paa Ryggen af hver sad der et lille deiligt Barn, en Dreng og en Pige; og de kyssede Jorden til Hilsen, og hvor de satte deres Fødder, voxte hvide Blomster frem under Sneen; Haand i Haand gik de op til den gamle Iismand, Vinteren, lagde sig ved hans Bryst til ny Hilsen og i samme Stund vare de alle tre skjulte og hele Landskabet skjult; en tyk, vaad Taage, saa tæt og tung, indhyllede Alt.",Ikke-relevante segmenter,1852
38,aarets-historie,"–
Lidt efter luftede det, – Vinden foer afsted, den kom med stærke Kast og jog Taagen bort, Solen skinnede saa varmt; – Vinteren selv var forsvunden, Foraarets deilige Børn sad paa Aarets Throne.",Ikke-relevante segmenter,1852
39,aarets-historie,"»Det kalder jeg Nytaar!«
sagde Spurvene.",Ikke-relevante segmenter,1852
40,aarets-historie,"»
Nu faae vi vel igjen vore Rettigheder og Erstatning for den strænge Vinter!«
Hvorhen de to Børn vendte sig, der skjød grønne Knopper frem paa Buske og Træer, der blev Græsset høiere, Sædemarken mere og mere liflig grøn.",Ikke-relevante segmenter,1852
41,aarets-historie,"Og rundtom kastede den lille Pige Blomster; hun havde af dem i Overflødighed i sit Skjørt, de syntes der at myldre frem, altid var det fuldt, i hvor ivrig hun var med at kaste, – i sin Iilfærdighed rystede hun en heel Blomster-Snee henover Æble- og Ferskentræer, saa at de stode i fuld Pragt før de endnu rigtig havde grønne Blade.",Ikke-relevante segmenter,1852
42,aarets-historie,"Og hun klappede i Hænderne og Drengen klappede, og da kom der Fugle frem, man vidste ikke hvorfra, og Alle qviddrede og sang: »Vaaren er kommen!«
Det var deiligt at see.",Ikke-relevante segmenter,1852
43,aarets-historie,"Og mangen gammel Morlille kom udenfor sin Dør i Solskinnet, skuttede sig, saae hen paa de gule Blomster, der prangede over hele Engen, akkurat ligesom i hendes unge Dage; Verden blev ung igjen, »det er velsignet i Dag herude!«
sagde hun.",Ikke-relevante segmenter,1852
44,aarets-historie,"Og Skoven var endnu bruun-grøn, Knop ved Knop, men Skovmærken var fremme, saa frisk og saa duftende, Violerne stode i en Fylde, og der var Anemoner, Kodriver og Oxedriver, ja i hvert Græsstraa var Saft og Kraft, det var rigtignok et Pragt-Tæppe at sidde paa, og der sad Foraarets unge Par og holdt hinanden i Hænderne og sang og smilede og voxte meer og meer.",Ikke-relevante segmenter,1852
45,aarets-historie,"En mild Regn faldt fra Himlen over dem, de mærkede det ikke, Regndraaben og Glædestaaren blev een og samme Draabe.",Ikke-relevante segmenter,1852
46,aarets-historie,"Brud og Brudgom kyssede hinanden, og i det Nu sprang Skoven ud.",Ikke-relevante segmenter,1852
47,aarets-historie,"–
Da Solen stod op, vare alle Skove grønne!",Ikke-relevante segmenter,1852
48,aarets-historie,"Og Haand i Haand gik Brudeparret under det friske hængende Løvtag, hvor kun Sollysets Straaler og Slagskyggerne gave Farvevexel i det Grønne.",Ikke-relevante segmenter,1852
49,aarets-historie,En jomfruelig Reenhed og en forfriskende Duft var i de fine Blade!,Ikke-relevante segmenter,1852
50,aarets-historie,klar og levende rislede Aa og Bæk mellem de fløielsgrønne Siv og over de brogede Stene.,Ikke-relevante segmenter,1852
51,aarets-historie,"»
Fuldtop evigt og altid er det og bliver det!«
sagde hele Naturen.",Ikke-relevante segmenter,1852
52,aarets-historie,"Og Kukkeren sang og Lærken slog, det var det deilige Foraar; dog Piletræerne havde Uldvanter om sine Blomster, de vare nu saa gruelig forsigtige, og det er kjedeligt!",Ikke-relevante segmenter,1852
53,aarets-historie,"Og saa gik Dage og saa gik Uger, Varmen ligesom væltede ned; hede Luft-Bølger gik gjennem Kornet, der mere og mere gulnede.",Ikke-relevante segmenter,1852
54,aarets-historie,"Nordens hvide Lothus paa Skovsøerne spredte sine store grønne Blade ud over Vandspeilet og Fiskene søgte Skygge under dem; og paa Skovens Læ-Side, hvor Solen brændte paa Bondehusets Væg og ordentlig gjennemvarmede de udsprungne Roser, og Kirsebærtræerne hang fulde med saftige, sorte, næsten solhede Bær, sad Sommerens deilige Qvinde, hende vi saae som Barn og som Brud; og hun saae mod de stigende mørke Skyer, der i Bølgeformer, som Bjerge, sortblaa og tunge, løftede sig høiere og høiere; fra tre Sider kom de; meer og meer, som et forstenet omvendt Hav, sænkede de sig mod Skoven, hvor Alt, som ved en Trolddom, var taust; hver Luftning havde lagt sig, hver Fugl taug, der var en Alvor, en Forventning i hele Naturen; men paa Veie og Stier skyndte sig afsted Kjørende, Ridende og Gaaende, for at komme under Tag.",Ikke-relevante segmenter,1852
55,aarets-historie,"–
Da lyste det med eet, som om Solen brød frem, blinkende, blændende, Alt opbrændende, og der blev Mulm igjen i et rullende Brag; Vandet styrtede i Strømme ned; det blev Nat og det blev Lys, det blev Stilhed og det blev Bulder.",Ikke-relevante segmenter,1852
56,aarets-historie,"De unge bruunfjedrede Rør i Mosen bevægede sig i lange Bølger, Skovens Grene skjultes i Vandtaager, Mørket kom og Lyset kom, Stilhed og Bulder.",Ikke-relevante segmenter,1852
57,aarets-historie,"–
Græs og Korn laae som slaaet ned, som skyllet hen, som skulde det aldrig reise sig.",Ikke-relevante segmenter,1852
58,aarets-historie,"–
Pludselig blev Regnen til enkelte Draaber, Solen skinnede, og fra Straa og fra Blad blinkede Vanddraaberne som Perler, Fuglene sang, Fiskene sloge op fra Aa-Vandet, Myggene dandsede, og ude paa Stenen i det salte pidskede Havvand sad Sommeren selv, den kraftige Mand, med de fyldige Lemmer, med drivvaadt Haar, – forynget af det friske Bad, sad han i det varme Solskin.",Ikke-relevante segmenter,1852
59,aarets-historie,"Al Naturen var forynget rundtom, Alt stod frodigt, kraftigt og skjønt; det var Sommer, den varme deilige Sommer.",Ikke-relevante segmenter,1852
60,aarets-historie,"Og liflig og sød var den Duft, der kom fra den frodige Kløvermark, Bierne summede der om det gamle Tingsted; Brombærranken snoede sig op om Altarstenen, der, vadsket af Regnen, skinnede i Sollyset; og derhen fløi Bidronningen med sin Sværm og satte Vox og Honning.",Ikke-relevante segmenter,1852
61,aarets-historie,Ingen saae det uden Sommeren og hans kraftige Viv; for dem stod Altarbordet dækket med Naturens Offergave.,Ikke-relevante segmenter,1852
62,aarets-historie,"Og Aftenhimlen straalede som et Guld, ingen Kirkekuppel har det saa rigt, og Maanen skinnede mellem Aftenrøde og Morgenrøde.",Ikke-relevante segmenter,1852
63,aarets-historie,Det var Sommertid.,Ikke-relevante segmenter,1852
64,aarets-historie,Og der gik Uger og der gik Dage.,Ikke-relevante segmenter,1852
65,aarets-historie,"–
Høstfolkenes blanke Leer blinkede i Kornmarkerne, Æbletræets Grene bøiede sig med røde og gule Frugter; Humlen duftede deiligt og hang i store Kopper og under Hasselbuskene, hvor Nødderne sad i svære Kløvser, hvilte Mand og Viv, Sommeren med sin alvorsfulde Qvinde.",Ikke-relevante segmenter,1852
66,aarets-historie,"»Hvilken Rigdom!«
sagde hun, »rundtom Velsignelse, hjemligt og godt, og dog, jeg veed ikke selv, jeg længes efter – Hvile, – Ro!",Ikke-relevante segmenter,1852
67,aarets-historie,jeg veed ikke Ordet derfor!,Ikke-relevante segmenter,1852
68,aarets-historie,"–
Nu pløie de alt igjen paa Marken!",Ikke-relevante segmenter,1852
69,aarets-historie,Mere og altid Mere ville Menneskene vinde!,Ikke-relevante segmenter,1852
70,aarets-historie,"–
See Storkene komme i Flokke og gaae i Afstand efter Ploven; Ægyptens Fugl, som bar os gjennem Luften!",Ikke-relevante segmenter,1852
71,aarets-historie,"Husker du, da vi begge som Børn kom herind i Nordens Lande?",Ikke-relevante segmenter,1852
72,aarets-historie,"–
Blomster bragte vi, deiligt Solskin og grønne Skove, dem har nu Vinden faret ilde med, de brunes og mørknes, som Sydens Træer, men bærer ikke, som de, gyldne Frugter!«
»Dem vil du see?«
sagde Sommeren, »saa glæd dig da!«
og han løftede sin Arm og Skovens Blade farvedes med Rødt og med Guld, der kom en Farvepragt over alle Skove; Rosenhækken skinnede med ildrøde Hyben, Hyldegrenene hang med store tunge sortebrune Bær, de vilde Kastanier faldt modne ud af de sortegrønne Skaller, og inde i Skoven blomstrede Violerne anden Gang.",Ikke-relevante segmenter,1852
73,aarets-historie,"Men Aarets Dronning blev mere og mere stille, mere bleg.",Ikke-relevante segmenter,1852
74,aarets-historie,"»
Det lufter koldt!«
sagde hun, »Natten har vaade Taager!",Ikke-relevante segmenter,1852
75,aarets-historie,"–
jeg længes efter – Barndomslandet!« –
Og hun saae Storkene flyve bort, hver en!",Ikke-relevante segmenter,1852
76,aarets-historie,og hun strakte Hænderne efter dem.,Ikke-relevante segmenter,1852
77,aarets-historie,"–
Hun saae op til Rederne, der stode tomme, og der voxte op i een den langstilkede Kornblomst og i en anden den gule Kidike, som om Reden kun var til som Værn og Gjærde om den; og Spurvene kom derop.",Ikke-relevante segmenter,1852
78,aarets-historie,»Pip!,Ikke-relevante segmenter,1852
79,aarets-historie,hvor er Herskabet blevet af!,Ikke-relevante segmenter,1852
80,aarets-historie,"de kan nok ikke taale at det blæser paa dem, og saa er de taget ud af Landet!",Ikke-relevante segmenter,1852
81,aarets-historie,"Lykke paa Reisen!«
Og mere og mere guul blev Skovens Blade og Løv faldt paa Løv, Efteraarets Storme suste, det var seent paa Høstens Tid.",Ikke-relevante segmenter,1852
82,aarets-historie,"Og paa det gule Løvfald laae Aarets Dronning og saae med milde Øine mod den blinkende Stjerne, og hendes Huusbond stod hos hende.",Ikke-relevante segmenter,1852
83,aarets-historie,"Et Vindstød hvirvlede i Løvet – det faldt igjen, da var hun borte, men en Sommerfugl, Aarets sidste, fløi gjennem den kolde Luft.",Ikke-relevante segmenter,1852
84,aarets-historie,"Og de vaade Taager kom, den isnende Blæst og de mørke, længste Nætter.",Ikke-relevante segmenter,1852
85,aarets-historie,"Aarets Drot stod med sneehvidt Haar, men han vidste det ikke selv, han troede, at det var Sneefnokkene, som faldt fra Skyen; et tyndt Sneelag laae hen over den grønne Mark.",Ikke-relevante segmenter,1852
86,aarets-historie,Og Kirkeklokkerne ringede til Juletid.,Ikke-relevante segmenter,1852
87,aarets-historie,"»Fødselsklokkerne ringe!«
sagde Aarets Drot, »snart fødes det nye Hersker-Par; og jeg faaer Hvile, som hun!",Ikke-relevante segmenter,1852
88,aarets-historie,"Hvile i den blinkende Stjerne!«
Og i den friske grønne Granskov, hvor Sneen laae, stod Jule-Engelen og indviede de unge Træer, der skulde til dens Fest.",Ikke-relevante segmenter,1852
89,aarets-historie,"»Glæde i Stuen og under de grønne Grene!«
sagde Aarets gamle Drot, Uger havde ældet ham til sneehvid Gubbe; »det , Aarets unge Par faaer nu Krone og Scepter!«
»Og Magten er dog din!«
sagde Jule-Engelen, »Magten og ikke Hvilen!",Ikke-relevante segmenter,1852
90,aarets-historie,Lad Sneen ligge varmende hen over den unge Sæd!,Ikke-relevante segmenter,1852
91,aarets-historie,"lær at bære det, at en Anden hyldes og du dog er Hersker, lær at være glemt og dog at leve!",Ikke-relevante segmenter,1852
92,aarets-historie,"din Friheds Time kommer, naar Vaaren kommer!«
»Naar kommer Vaaren?«
spurgte Vinteren.",Ikke-relevante segmenter,1852
93,aarets-historie,"»Den kommer naar Storken kommer!«
Og med hvide Lokker og sneehvidt Skjæg sad Vinteren iiskold, gammel og bøiet, men stærk, som Vinterstormen og Isens Magt, høit paa Bankens Sneedrive og saae mod Syd, som Vinteren forud havde siddet og seet.",Ikke-relevante segmenter,1852
94,aarets-historie,"–
Isen knagede, Sneen knirkede, Skøiteløberne svang sig paa de blanke Søer, og Ravne og Krager toge sig godt ud paa den hvide Grund, ingen Vind rørte sig.",Ikke-relevante segmenter,1852
95,aarets-historie,"Og i den stille Luft knyttede Vinteren Hænderne, og Isen blev Favne tyk mellem Landene.",Ikke-relevante segmenter,1852
96,aarets-historie,"Saa kom igjen Spurvene fra Byen og spurgte: »Hvem er den gamle Mand derhenne?«
Og Ravnen sad der igjen, eller en Søn af ham, som er lige det samme, og den sagde dem: »det er Vinteren!",Ikke-relevante segmenter,1852
97,aarets-historie,den gamle Mand fra det forrige Aar.,Ikke-relevante segmenter,1852
98,aarets-historie,"Han er ikke død, som Almanaken siger, men Formynder for Vaaren, som kommer!«
»Naar kommer Vaaren!«
sagde Spurvene, »saa faae vi god Tid, og bedre Regimente!",Ikke-relevante segmenter,1852
99,aarets-historie,"det gamle duede ikke.«
Og i stille Tanker nikkede Vinteren til den bladløse, sorte Skov, hvor hvert Træ viste Grenenes deilige Form og Bøining; og under Vinterblundet sænkede sig Skyernes iiskolde Taager, – Herskeren drømte om sin Ungdoms og sin Manddoms Tid, og ved Dagningen stod hele Skoven deilig med Riimfrost, det var Vinterens Sommerdrøm; Solskinnet dryssede Riimfrost fra Grenene.",Ikke-relevante segmenter,1852
100,aarets-historie,"»Naar kommer Vaaren?«
spurgte Spurvene.",Ikke-relevante segmenter,1852
101,aarets-historie,"»Vaaren!«
lød det som Eccho fra de Banker, hvor Sneen laae.",Ikke-relevante segmenter,1852
102,aarets-historie,"Og Solen skinnede mere og mere varm, Sneen smeltede, Fuglene qviddrede: »Vaaren kommer!«
Og høit gjennem Luften kom den første Stork, den anden fulgte; et deiligt Barn sad paa Ryggen af hver, og de dalede ned paa den aabne Mark og de kyssede Jorden, og de kyssede den gamle stille Mand, og som , svandt han, baaret af Skytaagen.",Ikke-relevante segmenter,1852
103,aarets-historie,Aarets Historie var endt.,Ikke-relevante segmenter,1852
104,aarets-historie,"»Det er meget rigtigt!«
sagde Spurvene, »og det er ogsaa meget kjønt, men det er ikke efter Almanaken, og saa er det galt!«",Ikke-relevante segmenter,1852
105,abc-bogen,"Der var en Mand, som havde skrevet nogle nye Vers til »Abc-Bogen«; saadan to Linier til hvert Bogstav, ligesom i den gamle ; han syntes, at man skulde have noget Nyt, de gamle Vers vare saa forslidte, og han syntes nu altid saa godt om sine egne.",Ikke-relevante segmenter,1858
106,abc-bogen,"Den nye Abc laae endnu kun skrevet, og den var ved Siden af den gamle trykte stillet hen i det store Bogskab, hvori der stode saa mange lærde Bøger og moersomme Bøger, men den gamle Abc vilde nok ikke være Nabo til den nye og var derfor sprunget fra Hylden og havde i det samme givet et Skub til den nye, saa den ogsaa laae paa Gulvet og det med alle sine løse Blade spredte rundtom.",Ikke-relevante segmenter,1858
107,abc-bogen,"Den gamle Abc vendte opad den første Side, og det er den vigtigste i den, der staae alle Bogstaverne, de store og smaa.",Ikke-relevante segmenter,1858
108,abc-bogen,"Det Blad har nu Alt, hvad alle de andre Bøger leve af, Alphabetet, Bogstaverne, dem, der dog regjere i Verden; en forfærdelig Magt har de!",Ikke-relevante segmenter,1858
109,abc-bogen,"det kommer alene an paa, hvorledes de kommanderes til at staae; de kunne give Liv, slaae ihjel, glæde og bedrøve.",Ikke-relevante segmenter,1858
110,abc-bogen,"Enkelte opstillede betyde de Ingenting, men stillede i Geled, – ja, da vor Herre lod dem lægge under sine Tanker, fornam vi mere, end vi mægtede at bære, vi bøiede os dybt, men Bogstaverne mægtede at bære det.",Ikke-relevante segmenter,1858
111,abc-bogen,Der laae de nu og vendte opad!,Fattigdom,1858
112,abc-bogen,"og Hanen i det store A straalede med røde, blaae og grønne Fjer; han brystede sig, for han vidste hvad Bogstaverne betød og at han var den eneste Levende i dem.",Ikke-relevante segmenter,1858
113,abc-bogen,"Da gamle Abc-Bog faldt paa Gulvet slog han med Vingerne, fløi ud og satte sig paa en Kant af Bogskabet, glattede sig med Næbet, og galede, saa det skingrede efter.",Ikke-relevante segmenter,1858
114,abc-bogen,"Hver Bog i Skabet, som ellers Nat og Dag stod ligesom i en Døs, naar den ikke var i Brug, fornam det Trompetstød – og saa talede Hanen høit og lydeligt om den Uret, der var gjort den værdige gamle Abc-Bog.",Ikke-relevante segmenter,1858
115,abc-bogen,"»Alting skal nu være nyt, være anderledes!«
sagde den, »Alt skal være saa fremad, Børn ere saa kloge, at de nu kunne læse før de kjende Bogstaver.",Ikke-relevante segmenter,1858
116,abc-bogen,"»»
De skulle have lidt Nyt!««
sagde han, der skrev de nye Abc-Vers, som ligge der spredte paa Gulvet.",Ikke-relevante segmenter,1858
117,abc-bogen,Jeg kjender dem!,Ikke-relevante segmenter,1858
118,abc-bogen,"meer end ti Gange har jeg hørt ham læse dem op for sig selv, det var ham saadan en Fornøielse, nei, maa jeg bede om mine egne, de gode gamle med , og de Billeder, der høre til; dem vil jeg kjæmpe for, dem vil jeg gale for!",Ikke-relevante segmenter,1858
119,abc-bogen,enhver Bog i Skabet kjender dem vel!,Ikke-relevante segmenter,1858
120,abc-bogen,nu skal jeg læse de skrevne nye!,Ikke-relevante segmenter,1858
121,abc-bogen,læse dem med al Rolighed!,Ikke-relevante segmenter,1858
122,abc-bogen,"lad os saa være enige om, at de ikke due!«
»Det Vers finder jeg nu inderligt flaut!«
sagde Hanen, »men jeg læser videre!«
»Det vil nu Mange finde saa kjønt!«
sagde Hanen, »men det gjør jeg ikke!",Ikke-relevante segmenter,1858
123,abc-bogen,jeg finder nu Ingenting kjønt her!,Ikke-relevante segmenter,1858
124,abc-bogen,"–
videre!«
»Hvor skal nu et Barn forstaae det!«
sagde Hanen, »der staaer rigtignok paa Titelbladet: »Abc-Bog for Store og Smaa«, men de Store have Andet at bestille end læse Abc-Vers og de Smaa kunne ikke forstaae det!",Fattigdom,1858
125,abc-bogen,Der er en Grændse med Alt!,Fattigdom,1858
126,abc-bogen,"Videre!«
»Det er nu raat!«
sagde Hanen.",Ikke-relevante segmenter,1858
127,abc-bogen,"»Hvor skal man nu kunde forklare for Børn det Familieskab?«
»Nu faaer jeg Grovheder!«
sagde Hanen; »men jeg er da i godt Selskab, i Selskab med Solen!",Ikke-relevante segmenter,1858
128,abc-bogen,"videre!«
»Tillader De nu, jeg galer!«
sagde Hanen, »det tager paa Kræfterne at læse saa meget!",Ikke-relevante segmenter,1858
129,abc-bogen,"man maa trække Veiret!« –
og saa galede den, saa at det skingrede som Messing-Trompet, og det var en stor Fornøielse at høre paa – for Hanen.",Ikke-relevante segmenter,1858
130,abc-bogen,"»
Videre!«
»Det skal nu være saa dybt,« sagde Hanen, »men jeg kan ikke hitte det paa Bunden!«
»Her har han ikke kunnet finde paa noget Nyt!«
»Han maatte dog tage Xanthippe.",Ikke-relevante segmenter,1858
131,abc-bogen,"Xanthus er nu bedre!«
»Nu er vi snart ude!«
sagde Hanen, »det er altid en Trøst.",Ikke-relevante segmenter,1858
132,abc-bogen,"Videre frem.«
»Der slap det!",Ikke-relevante segmenter,1858
133,abc-bogen,men det er ikke overstaaet!,Ikke-relevante segmenter,1858
134,abc-bogen,nu skal det trykkes!,Ikke-relevante segmenter,1858
135,abc-bogen,og saa skal det læses!,Ikke-relevante segmenter,1858
136,abc-bogen,det skal bydes istedetfor de værdige gamle Bogstav-Vers i min Bog!,Ikke-relevante segmenter,1858
137,abc-bogen,"Hvad siger Forsamlingen, Lærde og Ulærde, enkelte og samlede Skrifter?",Ikke-relevante segmenter,1858
138,abc-bogen,hvad siger Bogskabet?,Ikke-relevante segmenter,1858
139,abc-bogen,"Jeg har talt – nu kunne de Andre handle!«
Og Bøgerne stode og Skabet stod, men Hanen fløi ned igjen i sit store A og saae sig stolt om.",Ikke-relevante segmenter,1858
140,abc-bogen,"»
Jeg talede godt, jeg galede godt –!",Ikke-relevante segmenter,1858
141,abc-bogen,det gjør den nye Abc-Bog mig ikke efter!,Ikke-relevante segmenter,1858
142,abc-bogen,den døer bestemt!,Ikke-relevante segmenter,1858
143,abc-bogen,den er død!,Ikke-relevante segmenter,1858
144,abc-bogen,den har ingen Hane!«,Ikke-relevante segmenter,1858
145,aerens-tornevei,"Der er et gammelt Eventyr: »Ærens Tornevei for en Skytte, ;« Mangen Een af os har vist som Barn hørt det, maaskee som Ældre læst det og tænkt paa sin egen ubemærkede Tornevei og »megen Viderværdighed.«
Eventyret og Virkeligheden ligge hinanden saa nær, men Eventyret har sin harmoniske Opløsning her paa Jorden, Virkeligheden stiller den oftest ud over Jordlivet ind i Tid og Evighed.",Ikke-relevante segmenter,1856
146,aerens-tornevei,"Verdenshistorien er en , der viser os i Lysbilleder paa Samtids sorte Grund hvorlunde Menneskehedens Velgjørere, Snillets Martyrer, vandre Ærens Tornevei.",Ikke-relevante segmenter,1856
